id,name,category,panel,start,end,depends,owner,reviewer,status,priority,milestone,critical_override,deliverable,done_criteria,blocker,next_action,updated,impact,risk
T021,パネル6-11_画像素材収集,素材,P06|P07|P08|P09|P10|P11,2026-07-02,2026-07-29,T002,BU,chief_ST,未着手,中,no,no,,,,,2026-06-02,,
M006,パネル6-11_構成案Fix,企画,P06|P07|P08|P09|P10|P11,2026-07-29,2026-07-29,T020|T021,BU,chief_TM,未着手,中,yes,no,,載せる図の目星がついているor作成するならイメージを共有、文章の叩きがある。,,,2026-06-02,デザイン・原稿の遅れ,
T022,パネル1-5_2ndレビュー反映（原稿）,原稿,P01|P02|P03|P04|P05,2026-08-27,2026-09-04,M007,TBEX,writer_MM,未着手,中,no,no,,,,,2026-06-02,,
M008,パネル1-5_3rdレビュー,レビュー,P01|P02|P03|P04|P05,2026-09-07,2026-09-07,T011|T022,全員,chief_TM,未着手,中,yes,no,,,,,2026-06-02,,
T023,UM不在,デザイン,ALL,2026-06-27,2026-07-06,,designer_UM,全員,未着手,低,no,no,,,,,2026-06-02,,
T024,パネル6-11_1stレビュー反映（パネル）,デザイン,P06|P07|P08|P09|P10|P11,2026-08-17,2026-08-26,M007,D&C,designer_OH,未着手,中,no,no,,,,,2026-06-02,,
T025,パネル6-11_1stレビュー反映（原稿）,原稿,P06|P07|P08|P09|P10|P11,2026-08-17,2026-08-26,M007,TBEX,writer_MM,未着手,中,no,no,,,,,2026-06-02,,
M011,全パネル_1stレビューを反映した状態で揃う,デザイン,ALL,2026-08-26,2026-08-26,,全員,chief_TM,未着手,中,yes,no,,,,,2026-06-02,,
M012,全体レビュー（2nd）と指摘整理,デザイン,ALL,2026-08-26,2026-08-26,T018|T019|T024|T025,全員,chief_TM,未着手,中,yes,no,,,,,2026-06-02,,
T026,パネル1-5_微修正,デザイン,P01|P02|P03|P04|P05,2026-09-07,2026-09-25,M008,D&C,designer_OH,未着手,中,no,no,,,,,2026-06-02,,
T027,パネル6-11_2ndレビュー反映（パネル）,デザイン,P06|P07|P08|P09|P10|P11,2026-09-07,2026-09-15,M012,D&C,designer_OH,未着手,中,no,no,,,,,2026-06-02,,
T028,パネル6-11_2ndレビュー反映（パネル）,原稿,P06|P07|P08|P09|P10|P11,2026-09-07,2026-09-15,M012,TBEX,writer_MM,未着手,中,no,no,,,,,2026-06-02,,
M013,パネル6-11_3rdレビュー,レビュー,P06|P07|P08|P09|P10|P11,2026-09-16,2026-09-16,T027|T028,全員,chief_TM,未着手,中,yes,no,,,,,2026-06-02,,
T029,パネル6-11_微修正,デザイン,P06|P07|P08|P09|P10|P11,2026-09-16,2026-09-25,M013,D&C,designer_OH,未着手,中,no,no,,,,,2026-06-02,,
